,Country,2014,2016
0,United States,17521.75,18707.15
1,China,10534.53,11221.84
2,Japan,4850.41,4926.67
3,Germany,3904.92,3496.61
4,United Kingdom,3036.31,2669.11
5,France,2856.7,2466.15
6,India,2039.13,2289.75
7,Italy,2155.15,1869.97
8,Brazil,2456.17,1795.6
9,Canada,1803.53,1530.27
10,Korea,1411.33,1414.8
11,Russia,2056.58,1282.66
12,Australia,1457.48,1267.85
13,Spain,1379.1,1238.01
14,Mexico,1314.57,1077.83
15,Indonesia,891.051,932.066
16,Turkey,934.075,863.39
17,Netherlands,892.3969999999999,783.852
18,Switzerland,709.4960000000001,670.247
19,Saudi Arabia,756.35,644.936
20,Argentina,563.614,556.774
21,Taiwan Province of China,530.515,531.357
22,Sweden,574.413,512.205
23,Nigeria,568.496,405.44199999999995
24,Poland,545.284,471.843
25,Belgium,531.651,469.931
26,Thailand,407.339,412.43699999999995
27,Norway,499.338,371.345
28,Austria,442.69800000000004,394.215
29,Islamic Republic of Iran,423.409,404.445
30,United Arab Emirates,403.13699999999994,357.045
31,Egypt,305.567,332.48400000000004
32,Venezuela,212.347,279.249
33,South Africa,350.901,296.27299999999997
34,Hong Kong SAR,291.438,320.877
35,Singapore,313.26,316.558
36,Denmark,352.994,311.988
37,Israel,310.008,319.378
38,Malaysia,338.066,296.753
39,Colombia,381.241,282.72
40,Philippines,284.585,304.889
41,Ireland,259.2,301.968
42,Pakistan,244.361,278.655
43,Chile,260.47900000000004,250.265
44,Finland,273.04200000000003,239.15
45,Bangladesh,184.013,235.623
46,Portugal,229.995,206.361
47,Greece,237.40599999999998,195.303
48,Peru,202.196,194.47
49,Vietnam,185.75900000000001,201.326
50,Czech Republic,207.81799999999998,195.09
51,Kazakhstan,221.416,137.289
52,Romania,199.628,188.495
53,Iraq,234.65099999999998,170.518
54,New Zealand,199.755,185.05900000000003
55,Algeria,213.81,160.13
56,Qatar,206.225,151.732
57,Hungary,140.083,126.008
58,Angola,145.71200000000002,101.124
59,Kuwait,162.695,109.381
60,Morocco,110.081,103.346
61,Ecuador,101.726,99.93799999999999
62,Ukraine,130.571,93.31299999999999
63,Slovak Republic,101.109,89.885
64,Sri Lanka,79.312,81.77600000000001
65,Oman,81.077,65.941
66,Dominican Republic,66.157,72.434
67,Uzbekistan,63.113,67.069
68,Sudan,60.726000000000006,55.566
69,Kenya,61.547,70.876
70,Guatemala,58.722,68.663
71,Ethiopia,54.165,70.88600000000001
72,Myanmar,65.575,63.24
73,Luxembourg,66.209,58.985
74,Belarus,78.736,47.703
75,Costa Rica,51.181000000000004,57.828
76,Panama,49.92100000000001,57.958
77,Uruguay,57.236000000000004,52.687
78,Azerbaijan,75.24,37.83
79,Bulgaria,56.815,53.236000000000004
80,Lebanon,48.29600000000001,51.239
81,Croatia,57.683,51.623000000000005
82,Ghana,53.173,54.989
83,Tanzania,50.003,49.773999999999994
84,Tunisia,47.63399999999999,41.808
85,Slovenia,49.968999999999994,44.66
86,Yemen,43.229,30.968000000000004
87,Lithuania,48.632,42.99100000000001
88,Serbia,47.062,40.63
89,Democratic Republic of the Congo,35.918,39.324
90,Jordan,36.382,39.253
91,Paraguay,40.277,36.054
92,Turkmenistan,43.523999999999994,36.18
93,Bolivia,32.853,34.091
94,Bahrain,33.388000000000005,32.25
95,Cameroon,34.999,32.635
96,Latvia,31.385,27.706999999999997
97,Trinidad and Tobago,27.48,21.721999999999998
98,El Salvador,22.593000000000004,24.154
99,Uganda,26.723000000000003,24.75
100,Estonia,26.658,23.994
101,Nepal,19.995,21.186
102,Zambia,27.151,20.941
103,Honduras,19.757,21.718000000000004
104,Papua New Guinea,23.06,19.028
105,Afghanistan,20.616,19.428
106,Zimbabwe,19.496,20.054000000000002
107,Cyprus,23.401,20.461
108,Cambodia,16.702,20.043
109,Senegal,19.802,18.982
110,Iceland,17.758,20.618000000000002
111,Libya,24.261999999999997,18.539
112,Bosnia and Herzegovina,18.522000000000002,16.91
113,Mozambique,16.872,10.897
114,Botswana,16.259,15.658
115,Gabon,18.209,14.02
116,Lao P.D.R.,13.265999999999998,15.915999999999999
117,Jamaica,13.864,14.107999999999999
118,Georgia,16.51,14.378
119,Equatorial Guinea,21.737,11.232999999999999
120,Mali,14.369000000000002,14.015999999999998
121,Brunei Darussalam,17.098,11.399000000000001
122,Nicaragua,11.88,13.184000000000001
123,South Sudan,15.105,2.9539999999999997
124,The Bahamas,10.957,11.839
125,Namibia,12.796,11.277999999999999
126,Mongolia,12.227,11.159
127,Mauritius,12.802999999999999,12.232000000000001
128,Albania,13.219000000000001,11.868
129,Chad,14.003,10.095
130,Malta,11.302,11.446
131,Armenia,11.61,10.546
132,Burkina Faso,12.398,10.892999999999999
133,Madagascar,10.674000000000001,9.959
134,Guinea,8.79,8.695
135,Haiti,8.774,8.177999999999999
136,Republic of Congo,14.099,7.787000000000001
137,Benin,9.722999999999999,8.576
138,Rwanda,8.01,8.475
139,Tajikistan,9.242,6.952999999999999
140,Moldova,9.51,8.072000000000001
141,Niger,8.243,7.61
142,Kyrgyz Republic,7.4670000000000005,6.813
143,Kosovo,7.398,6.7170000000000005
144,Malawi,6.055,5.492000000000001
145,Mauritania,5.391,4.686
146,Suriname,5.2410000000000005,3.1660000000000004
147,Barbados,4.696000000000001,4.841
148,Eritrea,3.964,5.005
149,Fiji,4.484,4.569
150,Sierra Leone,5.007,3.786
151,Togo,4.5760000000000005,4.486000000000001
152,Maldives,3.69,4.402
153,Montenegro,4.595,4.376
154,Guyana,3.0789999999999997,3.5039999999999996
155,Liberia,3.137,3.2769999999999997
156,Burundi,2.9339999999999997,3.138
157,Lesotho,2.647,2.4419999999999997
158,Bhutan,1.83,2.117
159,Belize,1.693,1.807
160,Djibouti,1.588,1.889
161,St. Lucia,1.5419999999999998,1.6880000000000002
162,Central African Republic,1.706,1.756
163,San Marino,1.6740000000000002,1.4680000000000002
164,Seychelles,1.3430000000000002,1.4269999999999998
165,The Gambia,1.2590000000000001,1.445
166,Antigua and Barbuda,1.276,1.465
167,Solomon Islands,1.1740000000000002,1.235
168,Guinea-Bissau,1.055,1.179
169,Grenada,0.9109999999999999,1.062
170,St. Kitts and Nevis,0.917,0.9590000000000001
171,Samoa,0.804,0.7859999999999999
172,Vanuatu,0.8170000000000001,0.7979999999999999
173,St. Vincent and the Grenadines,0.728,0.7709999999999999
174,Comoros,0.6859999999999999,0.612
175,Dominica,0.528,0.581
176,Tonga,0.447,0.428
177,Kiribati,0.18,0.17800000000000002
178,Tuvalu,0.037000000000000005,0.037000000000000005
